key,value,date
Glob,-19,1880
Glob,-10,1881
Glob,-9,1882
Glob,-19,1883
Glob,-27,1884
Glob,-31,1885
Glob,-30,1886
Glob,-33,1887
Glob,-20,1888
Glob,-11,1889
Glob,-36,1890
Glob,-23,1891
Glob,-26,1892
Glob,-29,1893
Glob,-30,1894
Glob,-21,1895
Glob,-14,1896
Glob,-11,1897
Glob,-28,1898
Glob,-16,1899
Glob,-8,1900
Glob,-13,1901
Glob,-26,1902
Glob,-35,1903
Glob,-44,1904
Glob,-27,1905
Glob,-21,1906
Glob,-39,1907
Glob,-42,1908
Glob,-47,1909
Glob,-42,1910
Glob,-44,1911
Glob,-35,1912
Glob,-33,1913
Glob,-15,1914
Glob,-10,1915
Glob,-33,1916
Glob,-39,1917
Glob,-24,1918
Glob,-21,1919
Glob,-25,1920
Glob,-19,1921
Glob,-26,1922
Glob,-22,1923
Glob,-26,1924
Glob,-19,1925
Glob,-8,1926
Glob,-20,1927
Glob,-20,1928
Glob,-35,1929
Glob,-13,1930
Glob,-9,1931
Glob,-16,1932
Glob,-28,1933
Glob,-13,1934
Glob,-19,1935
Glob,-14,1936
Glob,-1,1937
Glob,-2,1938
Glob,-3,1939
Glob,8,1940
Glob,13,1941
Glob,10,1942
Glob,14,1943
Glob,26,1944
Glob,13,1945
Glob,-3,1946
Glob,-3,1947
Glob,-9,1948
Glob,-9,1949
Glob,-18,1950
Glob,-7,1951
Glob,1,1952
Glob,8,1953
Glob,-12,1954
Glob,-14,1955
Glob,-20,1956
Glob,3,1957
Glob,6,1958
Glob,3,1959
Glob,-3,1960
Glob,5,1961
Glob,3,1962
Glob,6,1963
Glob,-20,1964
Glob,-10,1965
Glob,-5,1966
Glob,-2,1967
Glob,-7,1968
Glob,6,1969
Glob,3,1970
Glob,-9,1971
Glob,1,1972
Glob,15,1973
Glob,-8,1974
Glob,-1,1975
Glob,-11,1976
Glob,18,1977
Glob,7,1978
Glob,17,1979
Glob,28,1980
Glob,33,1981
Glob,13,1982
Glob,31,1983
Glob,16,1984
Glob,12,1985
Glob,19,1986
Glob,34,1987
Glob,40,1988
Glob,29,1989
Glob,44,1990
Glob,42,1991
Glob,23,1992
Glob,24,1993
Glob,32,1994
Glob,46,1995
Glob,35,1996
Glob,48,1997
Glob,63,1998
Glob,42,1999
Glob,42,2000
Glob,55,2001
Glob,63,2002
Glob,62,2003
Glob,55,2004
Glob,69,2005
Glob,64,2006
Glob,66,2007
Glob,54,2008
Glob,65,2009
Glob,71,2010
Glob,60,2011
Glob,63,2012
Glob,66,2013
Glob,75,2014
NHem,-33,1880
NHem,-18,1881
NHem,-17,1882
NHem,-30,1883
NHem,-42,1884
NHem,-41,1885
NHem,-39,1886
NHem,-37,1887
NHem,-22,1888
NHem,-16,1889
NHem,-40,1890
NHem,-23,1891
NHem,-30,1892
NHem,-39,1893
NHem,-37,1894
NHem,-28,1895
NHem,-20,1896
NHem,-13,1897
NHem,-28,1898
NHem,-17,1899
NHem,-3,1900
NHem,-8,1901
NHem,-29,1902
NHem,-35,1903
NHem,-45,1904
NHem,-28,1905
NHem,-20,1906
NHem,-46,1907
NHem,-45,1908
NHem,-48,1909
NHem,-43,1910
NHem,-41,1911
NHem,-47,1912
NHem,-42,1913
NHem,-18,1914
NHem,-9,1915
NHem,-35,1916
NHem,-52,1917
NHem,-32,1918
NHem,-32,1919
NHem,-26,1920
NHem,-8,1921
NHem,-25,1922
NHem,-18,1923
NHem,-15,1924
NHem,-7,1925
NHem,4,1926
NHem,-10,1927
NHem,-7,1928
NHem,-30,1929
NHem,2,1930
NHem,5,1931
NHem,-3,1932
NHem,-24,1933
NHem,1,1934
NHem,-8,1935
NHem,-3,1936
NHem,13,1937
NHem,14,1938
NHem,7,1939
NHem,14,1940
NHem,16,1941
NHem,14,1942
NHem,21,1943
NHem,28,1944
NHem,9,1945
NHem,7,1946
NHem,5,1947
NHem,0,1948
NHem,-2,1949
NHem,-16,1950
NHem,5,1951
NHem,5,1952
NHem,22,1953
NHem,-4,1954
NHem,-9,1955
NHem,-25,1956
NHem,4,1957
NHem,16,1958
NHem,11,1959
NHem,8,1960
NHem,8,1961
NHem,14,1962
NHem,15,1963
NHem,-20,1964
NHem,-13,1965
NHem,0,1966
NHem,3,1967
NHem,-5,1968
NHem,-2,1969
NHem,-3,1970
NHem,-15,1971
NHem,-18,1972
NHem,10,1973
NHem,-19,1974
NHem,-5,1975
NHem,-21,1976
NHem,12,1977
NHem,2,1978
NHem,8,1979
NHem,16,1980
NHem,39,1981
NHem,6,1982
NHem,26,1983
NHem,5,1984
NHem,0,1985
NHem,14,1986
NHem,27,1987
NHem,37,1988
NHem,29,1989
NHem,51,1990
NHem,41,1991
NHem,12,1992
NHem,20,1993
NHem,36,1994
NHem,58,1995
NHem,28,1996
NHem,53,1997
NHem,73,1998
NHem,52,1999
NHem,51,2000
NHem,64,2001
NHem,71,2002
NHem,72,2003
NHem,67,2004
NHem,84,2005
NHem,80,2006
NHem,83,2007
NHem,66,2008
NHem,71,2009
NHem,88,2010
NHem,71,2011
NHem,77,2012
NHem,76,2013
NHem,91,2014
SHem,-5,1880
SHem,-2,1881
SHem,-1,1882
SHem,-8,1883
SHem,-12,1884
SHem,-21,1885
SHem,-21,1886
SHem,-28,1887
SHem,-17,1888
SHem,-6,1889
SHem,-33,1890
SHem,-24,1891
SHem,-21,1892
SHem,-19,1893
SHem,-23,1894
SHem,-14,1895
SHem,-8,1896
SHem,-9,1897
SHem,-29,1898
SHem,-15,1899
SHem,-13,1900
SHem,-19,1901
SHem,-23,1902
SHem,-35,1903
SHem,-42,1904
SHem,-26,1905
SHem,-23,1906
SHem,-31,1907
SHem,-39,1908
SHem,-46,1909
SHem,-41,1910
SHem,-47,1911
SHem,-22,1912
SHem,-25,1913
SHem,-13,1914
SHem,-11,1915
SHem,-30,1916
SHem,-26,1917
SHem,-17,1918
SHem,-10,1919
SHem,-24,1920
SHem,-31,1921
SHem,-27,1922
SHem,-27,1923
SHem,-38,1924
SHem,-30,1925
SHem,-21,1926
SHem,-29,1927
SHem,-33,1928
SHem,-40,1929
SHem,-29,1930
SHem,-23,1931
SHem,-30,1932
SHem,-31,1933
SHem,-27,1934
SHem,-29,1935
SHem,-26,1936
SHem,-16,1937
SHem,-18,1938
SHem,-13,1939
SHem,3,1940
SHem,10,1941
SHem,6,1942
SHem,7,1943
SHem,24,1944
SHem,16,1945
SHem,-12,1946
SHem,-12,1947
SHem,-18,1948
SHem,-16,1949
SHem,-19,1950
SHem,-18,1951
SHem,-3,1952
SHem,-6,1953
SHem,-20,1954
SHem,-19,1955
SHem,-14,1956
SHem,3,1957
SHem,-5,1958
SHem,-4,1959
SHem,-13,1960
SHem,3,1961
SHem,-9,1962
SHem,-3,1963
SHem,-21,1964
SHem,-7,1965
SHem,-10,1966
SHem,-8,1967
SHem,-9,1968
SHem,14,1969
SHem,9,1970
SHem,-3,1971
SHem,20,1972
SHem,20,1973
SHem,4,1974
SHem,2,1975
SHem,-2,1976
SHem,24,1977
SHem,12,1978
SHem,26,1979
SHem,39,1980
SHem,27,1981
SHem,21,1982
SHem,35,1983
SHem,27,1984
SHem,25,1985
SHem,25,1986
SHem,41,1987
SHem,43,1988
SHem,29,1989
SHem,36,1990
SHem,44,1991
SHem,33,1992
SHem,29,1993
SHem,27,1994
SHem,34,1995
SHem,42,1996
SHem,42,1997
SHem,54,1998
SHem,32,1999
SHem,33,2000
SHem,46,2001
SHem,56,2002
SHem,52,2003
SHem,42,2004
SHem,55,2005
SHem,47,2006
SHem,49,2007
SHem,42,2008
SHem,59,2009
SHem,55,2010
SHem,50,2011
SHem,50,2012
SHem,56,2013
SHem,58,2014
24N.90N,-38,1880
24N.90N,-27,1881
24N.90N,-21,1882
24N.90N,-34,1883
24N.90N,-56,1884
24N.90N,-61,1885
24N.90N,-49,1886
24N.90N,-46,1887
24N.90N,-42,1888
24N.90N,-25,1889
24N.90N,-44,1890
24N.90N,-33,1891
24N.90N,-29,1892
24N.90N,-37,1893
24N.90N,-26,1894
24N.90N,-34,1895
24N.90N,-33,1896
24N.90N,-30,1897
24N.90N,-28,1898
24N.90N,-18,1899
24N.90N,-12,1900
24N.90N,-10,1901
24N.90N,-47,1902
24N.90N,-39,1903
24N.90N,-46,1904
24N.90N,-37,1905
24N.90N,-19,1906
24N.90N,-56,1907
24N.90N,-46,1908
24N.90N,-47,1909
24N.90N,-36,1910
24N.90N,-37,1911
24N.90N,-57,1912
24N.90N,-40,1913
24N.90N,-22,1914
24N.90N,-16,1915
24N.90N,-27,1916
24N.90N,-40,1917
24N.90N,-32,1918
24N.90N,-39,1919
24N.90N,-16,1920
24N.90N,7,1921
24N.90N,-18,1922
24N.90N,-7,1923
24N.90N,-7,1924
24N.90N,3,1925
24N.90N,6,1926
24N.90N,-9,1927
24N.90N,-3,1928
24N.90N,-33,1929
24N.90N,10,1930
24N.90N,5,1931
24N.90N,7,1932
24N.90N,-21,1933
24N.90N,21,1934
24N.90N,0,1935
24N.90N,-1,1936
24N.90N,21,1937
24N.90N,37,1938
24N.90N,24,1939
24N.90N,10,1940
24N.90N,-3,1941
24N.90N,14,1942
24N.90N,38,1943
24N.90N,39,1944
24N.90N,10,1945
24N.90N,8,1946
24N.90N,14,1947
24N.90N,14,1948
24N.90N,12,1949
24N.90N,-8,1950
24N.90N,7,1951
24N.90N,9,1952
24N.90N,33,1953
24N.90N,3,1954
24N.90N,2,1955
24N.90N,-24,1956
24N.90N,2,1957
24N.90N,10,1958
24N.90N,15,1959
24N.90N,9,1960
24N.90N,18,1961
24N.90N,27,1962
24N.90N,16,1963
24N.90N,-24,1964
24N.90N,-17,1965
24N.90N,-12,1966
24N.90N,13,1967
24N.90N,-8,1968
24N.90N,-26,1969
24N.90N,-10,1970
24N.90N,-6,1971
24N.90N,-35,1972
24N.90N,12,1973
24N.90N,-17,1974
24N.90N,12,1975
24N.90N,-26,1976
24N.90N,14,1977
24N.90N,-3,1978
24N.90N,-3,1979
24N.90N,6,1980
24N.90N,50,1981
24N.90N,-6,1982
24N.90N,24,1983
24N.90N,3,1984
24N.90N,-3,1985
24N.90N,11,1986
24N.90N,7,1987
24N.90N,40,1988
24N.90N,42,1989
24N.90N,61,1990
