word	words	diff	neighDens	logFreq
agent	word	0.227	1	5.223
auto	word	-0.007	2	6.127
baag	nonWord	0.44	18	3.3
bedrijf	word	-0.068	3	4.296
boeken	word	0.481	17	4.203
boens	nonWord	0.545	1	1.141
boog	word	0.291	18	2.146
brief	word	0.164	2	4.302
daad	word	0.211	30	2.812
dagen	word	0.52	15	5.67
deg	nonWord	0.09	18	5.329
deugd	word	0.319	5	1.861
garren	nonWord	0.427	4	1.332
gelm	nonWord	0.589	3	5.624
gezin	word	0.19	5	4.38
gonder	nonWord	0.786	4	5.582
gormel	nonWord	0.634	2	1.823
grond	word	0.761	5	4.703
handel	word	0.374	5	3.26
hart	word	0.423	22	4.84
haven	word	0.49	22	2.838
helft	word	0.478	3	4.185
hof	word	0.373	16	3.144
hotel	word	0.211	1	4.486
kaart	word	0.033	20	4.378
kagen	nonWord	0.541	15	3.55
kaken	word	0.282	17	0.959
kerel	word	0.121	5	4.939
klaan	nonWord	1.006	5	4.894
klaten	nonWord	1.383	5	5.596
kleinter	nonWord	0.87	1	2.664
kloem	nonWord	0.556	5	2.068
kneer	nonWord	1.246	4	5.473
knie	word	0.304	3	2.326
koemer	nonWord	1.225	3	4.526
koes	nonWord	0.544	20	2.648
kop	word	0.269	24	5.435
kous	word	0.288	16	0.806
kraat	nonWord	0.579	23	3.181
krat	word	0.27	19	1.34
kritiek	word	0.231	2	2.298
kruiter	nonWord	0.464	4	0.615
kwaas	nonWord	0.888	5	4.853
lantser	nonWord	0.621	1	0.732
lapen	nonWord	2.216	15	4.875
lappen	word	0.543	16	1.351
leden	word	0.116	22	3.029
leven	word	0.246	20	6.952
markt	word	0.396	2	2.946
mas	nonWord	0.736	36	5.505
massen	nonWord	0.667	19	3.409
meek	nonWord	0.648	15	5.168
menten	nonWord	0.274	5	5.398
moos	nonWord	0.273	21	4.157
neelden	nonWord	0.866	3	2.406
palen	word	0.315	19	0.688
pelen	nonWord	0.365	16	3.252
pleven	nonWord	0.881	4	5.604
pols	word	0.359	5	2.614
probleem	word	0.163	0	5.834
proen	nonWord	0.451	3	2.999
ralen	nonWord	1.039	22	3.28
rand	word	0.678	23	2.951
refrein	word	-0.042	0	0.131
regen	word	0.601	15	3.276
reis	word	0.331	28	4.504
res	nonWord	0.484	16	3.391
roeg	nonWord	1.013	19	3.304
saren	nonWord	0.358	15	4.453
schat	word	0.156	17	5.576
seren	nonWord	-0.051	19	3.25
slans	nonWord	0.709	3	4.175
slijm	word	0.281	5	1.118
sloffen	word	0.337	2	0.131
spalt	nonWord	-0.147	4	3.139
sprong	word	0.161	1	3.185
stasen	nonWord	1.331	5	2.131
storp	nonWord	0.564	4	4.459
stot	nonWord	1.306	21	4.911
suin	nonWord	0.467	4	2.473
tapijt	word	0.174	0	2.377
tar	nonWord	0.338	15	2.458
taren	nonWord	0.392	16	4.066
teken	word	0.043	16	4.335
tekken	nonWord	0.588	15	2.786
tennis	word	0.529	3	1.535
tensen	nonWord	0.848	4	5.638
tiest	nonWord	1.332	5	2.824
trafel	nonWord	0.463	1	4.424
vaken	nonWord	0.048	17	4.355
verdriet	word	0.356	1	3.276
vreemde	word	0.445	5	4.129
vriend	word	0.129	2	6.197
wagen	word	0.38	15	4.354
weken	word	0.215	15	4.999
welen	nonWord	1.065	17	4.809
wetten	word	0.141	15	2.894
zanen	nonWord	-0.016	16	3.115
zekken	nonWord	0.478	16	4.726
zorg	word	0.144	2	5.388
